时间(s)	Servo1	Servo2	Servo3	Servo4
23	1100	1100	1100	1100
23	1100	1100	1100	1100
23	1100	1100	1100	1100
23	1100	1100	1100	1100
24	1100	1100	1100	1100
24	1100	1100	1100	1100
24	1100	1100	1100	1100
24	1100	1100	1100	1100
24	1100	1100	1100	1100
24	1100	1100	1100	1100
24	1100	1100	1100	1100
24	1100	1100	1100	1100
24	1100	1100	1100	1100
24	1100	1100	1100	1100
25	1100	1100	1100	1100
25	1100	1100	1100	1100
25	1100	1100	1100	1100
25	1100	1100	1100	1100
25	1100	1100	1100	1100
25	1100	1100	1100	1100
25	1100	1100	1100	1100
25	1100	1100	1100	1100
25	1100	1100	1100	1100
25	1100	1100	1100	1100
26	1100	1100	1100	1100
26	1100	1100	1100	1100
26	1100	1100	1100	1100
26	1100	1100	1100	1100
26	1100	1100	1100	1100
26	1100	1100	1100	1100
26	1100	1100	1100	1100
26	1100	1100	1100	1100
26	1100	1100	1100	1100
26	1100	1100	1100	1100
27	1100	1100	1100	1100
27	1100	1100	1100	1100
27	1100	1100	1100	1100
27	1100	1100	1100	1100
27	1100	1100	1100	1100
27	1100	1100	1100	1100
27	1100	1100	1100	1100
27	1100	1100	1100	1100
27	1100	1100	1100	1100
27	1100	1100	1100	1100
28	1100	1100	1100	1100
28	1100	1100	1100	1100
28	1100	1100	1100	1100
28	1100	1100	1100	1100
28	1100	1100	1100	1100
28	1100	1100	1100	1100
28	1100	1100	1100	1100
28	1100	1100	1100	1100
28	1100	1100	1100	1100
28	1100	1100	1100	1100
29	1100	1100	1100	1100
29	1100	1100	1100	1100
29	1100	1100	1100	1100
29	1100	1100	1100	1100
29	1100	1100	1100	1100
29	1100	1100	1100	1100
29	1100	1100	1100	1100
29	1100	1100	1100	1100
29	1100	1100	1100	1100
29	1100	1100	1100	1100
30	1100	1100	1100	1100
30	1100	1100	1100	1100
30	1100	1100	1100	1100
30	1100	1100	1100	1100
30	1100	1100	1100	1100
30	1100	1100	1100	1100
30	1100	1100	1100	1100
30	1100	1100	1100	1100
30	1100	1100	1100	1100
30	1100	1100	1100	1100
31	1100	1100	1100	1100
31	1100	1100	1100	1100
31	1100	1100	1100	1100
31	1100	1100	1100	1100
31	1100	1100	1100	1100
31	1100	1100	1100	1100
31	1100	1100	1100	1100
31	1100	1100	1100	1100
31	1100	1100	1100	1100
31	1100	1100	1100	1100
32	1100	1100	1100	1100
32	1100	1100	1100	1100
32	1100	1100	1100	1100
32	1100	1100	1100	1100
32	1100	1100	1100	1100
32	1100	1100	1100	1100
32	1100	1100	1100	1100
32	1100	1100	1100	1100
32	1100	1100	1100	1100
32	1100	1100	1100	1100
33	1100	1100	1100	1100
33	1100	1100	1100	1100
33	1100	1100	1100	1100
33	1100	1100	1100	1100
33	1100	1100	1100	1100
33	1100	1100	1100	1100
33	1100	1100	1100	1100
33	1100	1100	1100	1100
33	1100	1100	1100	1100
33	1100	1100	1100	1100
