时间(s)	Roll(°)	Pitch(°)	Yaw(°)	Servo1	Servo2	Servo3	Servo4
11	0.18	0.18	-65.59	1100	1100	1100	1100
12	0.18	0.18	-65.59	1100	1100	1100	1100
12	0.18	0.18	-65.59	1100	1100	1100	1100
12	0.18	0.18	-65.59	1100	1100	1100	1100
12	0.19	0.19	-65.59	1100	1100	1100	1100
12	0.19	0.19	-65.59	1100	1100	1100	1100
12	0.19	0.19	-65.59	1100	1100	1100	1100
12	0.19	0.19	-65.59	1100	1100	1100	1100
12	0.19	0.19	-65.59	1100	1100	1100	1100
12	0.19	0.19	-65.59	1100	1100	1100	1100
12	0.19	0.19	-65.59	1100	1100	1100	1100
13	0.19	0.19	-65.59	1100	1100	1100	1100
13	0.19	0.19	-65.59	1100	1100	1100	1100
13	0.19	0.19	-65.59	1100	1100	1100	1100
13	0.19	0.19	-65.59	1100	1100	1100	1100
13	0.19	0.19	-65.59	1100	1100	1100	1100
13	0.19	0.19	-65.59	1100	1100	1100	1100
13	0.19	0.19	-65.59	1100	1100	1100	1100
13	0.19	0.19	-65.59	1100	1100	1100	1100
13	0.20	0.20	-65.60	1100	1100	1100	1100
13	0.20	0.20	-65.60	1100	1100	1100	1100
14	0.20	0.20	-65.60	1100	1100	1100	1100
14	0.20	0.20	-65.60	1100	1100	1100	1100
14	0.20	0.20	-65.60	1100	1100	1100	1100
14	0.20	0.20	-65.60	1100	1100	1100	1100
14	0.20	0.20	-65.60	1100	1100	1100	1100
14	0.20	0.20	-65.60	1100	1100	1100	1100
14	0.20	0.20	-65.60	1100	1100	1100	1100
14	0.20	0.20	-65.60	1100	1100	1100	1100
14	0.20	0.20	-65.60	1100	1100	1100	1100
14	0.20	0.20	-65.60	1100	1100	1100	1100
15	0.20	0.20	-65.60	1100	1100	1100	1100
15	0.20	0.21	-65.61	1100	1100	1100	1100
15	0.20	0.21	-65.61	1100	1100	1100	1100
15	0.20	0.21	-65.61	1100	1100	1100	1100
15	0.20	0.21	-65.61	1100	1100	1100	1100
15	0.20	0.21	-65.61	1100	1100	1100	1100
15	0.20	0.21	-65.61	1100	1100	1100	1100
15	0.20	0.21	-65.61	1100	1100	1100	1100
15	0.20	0.21	-65.61	1100	1100	1100	1100
15	0.20	0.21	-65.61	1100	1100	1100	1100
16	0.20	0.21	-65.61	1100	1100	1100	1100
16	0.20	0.21	-65.61	1100	1100	1100	1100
16	0.20	0.21	-65.61	1100	1100	1100	1100
16	0.20	0.21	-65.61	1100	1100	1100	1100
16	0.19	0.20	-65.64	1100	1100	1100	1100
16	0.19	0.20	-65.64	1100	1100	1100	1100
16	0.19	0.20	-65.64	1100	1100	1100	1100
16	0.19	0.20	-65.64	1100	1100	1100	1100
16	0.19	0.20	-65.64	1100	1100	1100	1100
16	0.19	0.20	-65.64	1100	1100	1100	1100
17	0.19	0.20	-65.64	1100	1100	1100	1100
17	0.19	0.20	-65.64	1100	1100	1100	1100
17	0.19	0.20	-65.64	1100	1100	1100	1100
17	0.19	0.20	-65.64	1100	1100	1100	1100
17	0.19	0.20	-65.64	1100	1100	1100	1100
17	0.19	0.20	-65.64	1100	1100	1100	1100
17	0.19	0.20	-65.64	1100	1100	1100	1100
17	0.19	0.20	-65.64	1100	1100	1100	1100
17	0.19	0.21	-65.65	1100	1100	1100	1100
17	0.19	0.21	-65.65	1100	1100	1100	1100
18	0.19	0.21	-65.65	1100	1100	1100	1100
18	0.19	0.21	-65.65	1100	1100	1100	1100
18	0.19	0.21	-65.65	1100	1100	1100	1100
18	0.19	0.21	-65.65	1100	1100	1100	1100
18	0.19	0.21	-65.65	1100	1100	1100	1100
18	0.19	0.21	-65.65	1100	1100	1100	1100
18	0.19	0.21	-65.65	1100	1100	1100	1100
18	0.19	0.21	-65.65	1100	1100	1100	1100
18	0.19	0.21	-65.65	1100	1100	1100	1100
18	0.19	0.21	-65.65	1100	1100	1100	1100
19	0.19	0.21	-65.65	1100	1100	1100	1100
19	0.19	0.20	-65.67	1100	1100	1100	1100
19	0.19	0.20	-65.67	1100	1100	1100	1100
