时间(s)	Servo1	Servo2	Servo3	Servo4
============================================================
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	1100	1100	1100	1100
0	1100	1100	1100	1100
0	1100	1100	1100	1100
0	1100	1100	1100	1100
0	1100	1100	1100	1100
0	1100	1100	1100	1100
1	1100	1100	1100	1100
1	1100	1100	1100	1100
1	1100	1100	1100	1100
1	1100	1100	1100	1100
1	1100	1100	1100	1100
1	1100	1100	1100	1100
1	1100	1100	1100	1100
1	1100	1100	1100	1100
1	1100	1100	1100	1100
1	1100	1100	1100	1100
2	1100	1100	1100	1100
2	1100	1100	1100	1100
2	1100	1100	1100	1100
2	1100	1100	1100	1100
2	1100	1100	1100	1100
2	1100	1100	1100	1100
2	1100	1100	1100	1100
2	1100	1100	1100	1100
2	1100	1100	1100	1100
2	1100	1100	1100	1100
3	1100	1100	1100	1100
3	1100	1100	1100	1100
3	1100	1100	1100	1100
3	1100	1100	1100	1100
3	1100	1100	1100	1100
3	1100	1100	1100	1100
3	1100	1100	1100	1100
3	1100	1100	1100	1100
3	1100	1100	1100	1100
3	1100	1100	1100	1100
4	1100	1100	1100	1100
4	1100	1100	1100	1100
4	1100	1100	1100	1100
4	1100	1100	1100	1100
4	1100	1100	1100	1100
4	1100	1100	1100	1100
4	1100	1100	1100	1100
4	1100	1100	1100	1100
4	1100	1100	1100	1100
4	1100	1100	1100	1100
5	1100	1100	1100	1100
5	1100	1100	1100	1100
5	1100	1100	1100	1100
5	1100	1100	1100	1100
5	1100	1100	1100	1100
5	1100	1100	1100	1100
5	1100	1100	1100	1100
5	1100	1100	1100	1100
5	1100	1100	1100	1100
5	1100	1100	1100	1100
6	1100	1100	1100	1100
6	1100	1100	1100	1100
6	1100	1100	1100	1100
6	1100	1100	1100	1100
6	1100	1100	1100	1100
6	1100	1100	1100	1100
6	1100	1100	1100	1100
6	1100	1100	1100	1100
6	1100	1100	1100	1100
6	1100	1100	1100	1100
7	1100	1100	1100	1100
7	1100	1100	1100	1100
7	1100	1100	1100	1100
7	1100	1100	1100	1100
7	1100	1100	1100	1100
7	1100	1100	1100	1100
7	1109	1109	1109	1109
7	1109	1109	1109	1109
7	1109	1109	1109	1109
7	1109	1109	1109	1109
8	1109	1109	1109	1109
8	1184	1184	1184	1184
8	1184	1184	1184	1184
8	1184	1184	1184	1184
8	1184	1184	1184	1184
8	1184	1184	1184	1184
8	1184	1184	1184	1184
8	1184	1184	1184	1184
8	1184	1184	1184	1184
8	1184	1184	1184	1184
9	1184	1184	1184	1184
9	1184	1184	1184	1184
9	1184	1184	1184	1184
9	1184	1184	1184	1184
9	1184	1184	1184	1184
9	1184	1184	1184	1184
9	1184	1184	1184	1184
9	1184	1184	1184	1184
9	1184	1184	1184	1184
9	1184	1184	1184	1184
10	1184	1184	1184	1184
10	1184	1184	1184	1184
10	1184	1184	1184	1184
10	1184	1184	1184	1184
10	1184	1184	1184	1184
10	1184	1184	1184	1184
10	1184	1184	1184	1184
10	1184	1184	1184	1184
10	1184	1184	1184	1184
10	1288	1294	1274	1306
11	1288	1294	1274	1306
11	1288	1294	1274	1306
11	1288	1294	1274	1306
11	1288	1294	1274	1306
11	1288	1294	1274	1306
11	1288	1294	1274	1306
11	1288	1294	1274	1306
11	1376	1380	1226	1268
11	1376	1380	1226	1268
11	1376	1380	1226	1268
12	1376	1380	1226	1268
12	1376	1380	1226	1268
12	1376	1380	1226	1268
12	1376	1380	1226	1268
12	1376	1380	1226	1268
12	1376	1380	1226	1268
12	1376	1380	1226	1268
12	1376	1380	1226	1268
12	1376	1380	1226	1268
12	1376	1380	1226	1268
13	1376	1380	1226	1268
13	1376	1380	1226	1268
13	1485	1495	1342	1407
13	1485	1495	1342	1407
13	1485	1495	1342	1407
13	1510	1521	1373	1442
13	1510	1521	1373	1442
13	1510	1521	1373	1442
13	1510	1521	1373	1442
13	1510	1521	1373	1442
14	1510	1521	1373	1442
14	1530	1543	1404	1476
14	1530	1543	1404	1476
14	1530	1543	1404	1476
14	1530	1543	1404	1476
14	1530	1543	1404	1476
14	1527	1537	1458	1517
14	1527	1537	1458	1517
14	1527	1537	1458	1517
14	1527	1537	1458	1517
15	1507	1489	1532	1557
15	1507	1489	1532	1557
